Percentage served,Time in ms
0,9.557
1,12.008
2,14.065
3,16.105
4,17.369
5,18.143
6,18.792
7,19.501
8,20.346
9,20.799
10,21.258
11,21.561
12,21.855
13,22.207
14,22.521
15,22.770
16,22.921
17,23.111
18,23.703
19,24.221
20,24.498
21,24.848
22,25.094
23,25.363
24,25.589
25,25.821
26,26.059
27,26.254
28,26.404
29,26.571
30,26.756
31,27.195
32,27.393
33,27.650
34,27.824
35,28.024
36,28.260
37,28.605
38,28.846
39,28.935
40,29.196
41,29.605
42,29.796
43,29.978
44,30.220
45,30.482
46,30.703
47,31.040
48,31.248
49,31.406
50,31.747
51,31.920
52,32.109
53,32.380
54,32.673
55,33.047
56,33.439
57,33.762
58,34.264
59,34.554
60,34.839
61,35.270
62,35.678
63,36.316
64,36.794
65,37.216
66,37.750
67,38.239
68,38.821
69,39.293
70,39.658
71,40.092
72,40.503
73,40.958
74,41.276
75,41.651
76,42.124
77,42.602
78,43.329
79,43.756
80,44.153
81,44.780
82,45.339
83,46.245
84,47.343
85,47.795
86,48.759
87,49.800
88,50.656
89,51.757
90,53.330
91,55.661
92,57.131
93,58.549
94,61.648
95,65.385
96,68.314
97,73.749
98,99.452
99,998.790
