starttime	seconds	ctime	dtime	ttime	wait
Tue May 09 23:08:25 2017	1494364105	0	9	10	9
Tue May 09 23:08:25 2017	1494364105	0	10	10	10
Tue May 09 23:08:25 2017	1494364105	0	11	11	11
Tue May 09 23:08:25 2017	1494364105	0	11	11	11
Tue May 09 23:08:24 2017	1494364104	1	11	12	11
Tue May 09 23:08:24 2017	1494364104	1	11	12	11
Tue May 09 23:08:24 2017	1494364104	1	11	12	11
Tue May 09 23:08:25 2017	1494364105	0	12	12	12
Tue May 09 23:08:24 2017	1494364104	1	11	12	11
Tue May 09 23:08:24 2017	1494364104	1	11	12	11
Tue May 09 23:08:24 2017	1494364104	1	11	12	11
Tue May 09 23:08:25 2017	1494364105	0	13	13	12
Tue May 09 23:08:25 2017	1494364105	0	13	13	13
Tue May 09 23:08:25 2017	1494364105	0	13	13	13
Tue May 09 23:08:25 2017	1494364105	0	13	13	13
Tue May 09 23:08:25 2017	1494364105	0	13	13	13
Tue May 09 23:08:25 2017	1494364105	0	13	14	13
Tue May 09 23:08:25 2017	1494364105	0	14	14	14
Tue May 09 23:08:25 2017	1494364105	0	14	14	14
Tue May 09 23:08:25 2017	1494364105	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	1	13	14	13
Tue May 09 23:08:25 2017	1494364105	0	14	14	14
Tue May 09 23:08:25 2017	1494364105	0	14	14	14
Tue May 09 23:08:25 2017	1494364105	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	1	14	14	14
Tue May 09 23:08:25 2017	1494364105	0	14	14	14
Tue May 09 23:08:25 2017	1494364105	0	14	14	14
Tue May 09 23:08:25 2017	1494364105	0	15	15	15
Tue May 09 23:08:25 2017	1494364105	0	15	15	15
Tue May 09 23:08:25 2017	1494364105	1	15	16	15
Tue May 09 23:08:25 2017	1494364105	0	16	16	16
Tue May 09 23:08:25 2017	1494364105	0	16	16	16
Tue May 09 23:08:25 2017	1494364105	0	16	16	16
Tue May 09 23:08:25 2017	1494364105	0	16	16	16
Tue May 09 23:08:25 2017	1494364105	0	17	17	16
Tue May 09 23:08:25 2017	1494364105	0	17	17	17
Tue May 09 23:08:25 2017	1494364105	0	17	17	17
Tue May 09 23:08:25 2017	1494364105	0	17	17	17
Tue May 09 23:08:25 2017	1494364105	0	17	17	17
Tue May 09 23:08:25 2017	1494364105	0	17	17	17
Tue May 09 23:08:25 2017	1494364105	0	17	17	17
Tue May 09 23:08:25 2017	1494364105	0	17	17	17
Tue May 09 23:08:25 2017	1494364105	0	17	17	17
Tue May 09 23:08:25 2017	1494364105	0	18	18	18
Tue May 09 23:08:25 2017	1494364105	0	18	18	18
Tue May 09 23:08:25 2017	1494364105	0	18	18	18
Tue May 09 23:08:25 2017	1494364105	0	18	18	18
