starttime	seconds	ctime	dtime	ttime	wait
Tue May 09 19:51:01 2017	1494352261	1	6	7	6
Tue May 09 19:51:01 2017	1494352261	1	6	7	6
Tue May 09 19:51:02 2017	1494352262	0	10	10	10
Tue May 09 19:51:07 2017	1494352267	0	11	11	11
Tue May 09 19:51:02 2017	1494352262	0	11	11	11
Tue May 09 19:51:02 2017	1494352262	0	11	11	11
Tue May 09 19:51:02 2017	1494352262	0	11	11	11
Tue May 09 19:51:06 2017	1494352266	0	11	11	11
Tue May 09 19:51:02 2017	1494352262	0	11	11	11
Tue May 09 19:51:07 2017	1494352267	0	11	11	11
Tue May 09 19:51:07 2017	1494352267	0	11	11	11
Tue May 09 19:51:07 2017	1494352267	0	11	11	11
Tue May 09 19:51:07 2017	1494352267	0	11	11	11
Tue May 09 19:51:07 2017	1494352267	0	11	11	11
Tue May 09 19:51:02 2017	1494352262	0	11	11	11
Tue May 09 19:51:07 2017	1494352267	0	11	11	11
Tue May 09 19:51:04 2017	1494352264	0	11	11	11
Tue May 09 19:51:06 2017	1494352266	0	11	11	11
Tue May 09 19:51:07 2017	1494352267	0	11	12	11
Tue May 09 19:51:02 2017	1494352262	0	11	12	11
Tue May 09 19:51:04 2017	1494352264	0	12	12	11
Tue May 09 19:51:06 2017	1494352266	0	12	12	12
Tue May 09 19:51:07 2017	1494352267	0	12	12	12
Tue May 09 19:51:04 2017	1494352264	0	12	12	12
Tue May 09 19:51:06 2017	1494352266	0	12	12	12
Tue May 09 19:51:07 2017	1494352267	0	12	12	12
Tue May 09 19:51:02 2017	1494352262	0	12	12	12
Tue May 09 19:51:07 2017	1494352267	0	12	12	12
Tue May 09 19:51:06 2017	1494352266	0	12	12	12
Tue May 09 19:51:02 2017	1494352262	0	12	12	12
Tue May 09 19:51:06 2017	1494352266	0	12	12	12
Tue May 09 19:51:04 2017	1494352264	0	12	12	12
Tue May 09 19:51:02 2017	1494352262	0	12	12	12
Tue May 09 19:51:02 2017	1494352262	0	12	12	12
Tue May 09 19:51:02 2017	1494352262	0	12	12	12
Tue May 09 19:51:04 2017	1494352264	0	12	12	12
Tue May 09 19:51:04 2017	1494352264	0	12	12	12
Tue May 09 19:51:02 2017	1494352262	0	12	12	12
Tue May 09 19:51:07 2017	1494352267	0	12	12	12
Tue May 09 19:51:04 2017	1494352264	0	12	12	12
Tue May 09 19:51:02 2017	1494352262	0	12	12	12
Tue May 09 19:51:06 2017	1494352266	0	12	12	12
Tue May 09 19:51:06 2017	1494352266	0	12	12	12
Tue May 09 19:51:02 2017	1494352262	0	12	12	12
Tue May 09 19:51:02 2017	1494352262	0	12	12	12
Tue May 09 19:51:04 2017	1494352264	0	12	12	12
Tue May 09 19:51:07 2017	1494352267	0	12	12	12
Tue May 09 19:51:07 2017	1494352267	0	12	12	12
Tue May 09 19:51:02 2017	1494352262	0	12	12	12
Tue May 09 19:51:02 2017	1494352262	0	12	12	12
Tue May 09 19:51:07 2017	1494352267	0	12	12	12
Tue May 09 19:51:06 2017	1494352266	0	12	12	12
Tue May 09 19:51:02 2017	1494352262	0	12	12	12
Tue May 09 19:51:04 2017	1494352264	0	12	12	12
Tue May 09 19:51:02 2017	1494352262	0	12	12	12
Tue May 09 19:51:07 2017	1494352267	0	12	12	12
Tue May 09 19:51:05 2017	1494352265	0	12	12	12
Tue May 09 19:51:04 2017	1494352264	0	12	12	12
Tue May 09 19:51:06 2017	1494352266	0	12	12	12
Tue May 09 19:51:04 2017	1494352264	0	12	12	12
Tue May 09 19:51:04 2017	1494352264	0	12	12	12
Tue May 09 19:51:02 2017	1494352262	0	12	12	12
Tue May 09 19:51:02 2017	1494352262	0	12	12	12
Tue May 09 19:51:07 2017	1494352267	0	12	12	12
Tue May 09 19:51:06 2017	1494352266	0	12	12	12
Tue May 09 19:51:07 2017	1494352267	0	12	13	12
Tue May 09 19:51:06 2017	1494352266	0	13	13	12
Tue May 09 19:51:02 2017	1494352262	0	13	13	12
Tue May 09 19:51:06 2017	1494352266	0	13	13	12
Tue May 09 19:51:02 2017	1494352262	0	13	13	13
Tue May 09 19:51:02 2017	1494352262	0	13	13	13
Tue May 09 19:51:04 2017	1494352264	0	13	13	13
Tue May 09 19:51:07 2017	1494352267	0	13	13	12
Tue May 09 19:51:02 2017	1494352262	0	13	13	13
Tue May 09 19:51:06 2017	1494352266	0	13	13	13
Tue May 09 19:51:06 2017	1494352266	0	12	13	12
Tue May 09 19:51:07 2017	1494352267	0	13	13	13
Tue May 09 19:51:04 2017	1494352264	0	13	13	13
Tue May 09 19:51:02 2017	1494352262	0	13	13	13
Tue May 09 19:51:05 2017	1494352265	0	13	13	13
Tue May 09 19:51:06 2017	1494352266	0	13	13	13
Tue May 09 19:51:04 2017	1494352264	0	13	13	13
Tue May 09 19:51:04 2017	1494352264	0	13	13	13
Tue May 09 19:51:07 2017	1494352267	0	13	13	13
Tue May 09 19:51:02 2017	1494352262	0	13	13	13
Tue May 09 19:51:04 2017	1494352264	0	13	13	13
Tue May 09 19:51:02 2017	1494352262	0	13	13	13
Tue May 09 19:51:07 2017	1494352267	0	13	13	13
Tue May 09 19:51:06 2017	1494352266	0	13	13	13
Tue May 09 19:51:02 2017	1494352262	0	13	13	13
Tue May 09 19:51:07 2017	1494352267	0	13	13	13
Tue May 09 19:51:04 2017	1494352264	0	13	13	13
Tue May 09 19:51:02 2017	1494352262	0	13	13	13
Tue May 09 19:51:07 2017	1494352267	0	13	13	13
Tue May 09 19:51:04 2017	1494352264	0	12	13	12
Tue May 09 19:51:02 2017	1494352262	0	13	13	13
Tue May 09 19:51:07 2017	1494352267	0	13	13	13
Tue May 09 19:51:07 2017	1494352267	0	13	13	13
Tue May 09 19:51:02 2017	1494352262	0	13	13	13
Tue May 09 19:51:05 2017	1494352265	0	13	13	13
Tue May 09 19:51:02 2017	1494352262	0	13	13	13
Tue May 09 19:51:06 2017	1494352266	0	13	13	13
Tue May 09 19:51:05 2017	1494352265	0	13	13	13
Tue May 09 19:51:02 2017	1494352262	0	13	13	13
Tue May 09 19:51:04 2017	1494352264	0	13	13	13
Tue May 09 19:51:05 2017	1494352265	0	13	13	13
Tue May 09 19:51:04 2017	1494352264	0	13	13	13
Tue May 09 19:51:06 2017	1494352266	0	13	13	13
