Percentage served,Time in ms
0,9.094
1,14.828
2,15.920
3,16.526
4,16.910
5,17.197
6,17.424
7,17.631
8,17.794
9,17.974
10,18.123
11,18.268
12,18.428
13,18.589
14,18.757
15,18.896
16,19.009
17,19.123
18,19.227
19,19.359
20,19.485
21,19.605
22,19.726
23,19.834
24,19.927
25,20.035
26,20.146
27,20.257
28,20.374
29,20.474
30,20.583
31,20.680
32,20.775
33,20.864
34,20.969
35,21.057
36,21.157
37,21.260
38,21.365
39,21.458
40,21.549
41,21.652
42,21.745
43,21.851
44,21.960
45,22.055
46,22.144
47,22.237
48,22.325
49,22.429
50,22.517
51,22.622
52,22.742
53,22.844
54,22.943
55,23.044
56,23.146
57,23.271
58,23.388
59,23.513
60,23.642
61,23.794
62,23.936
63,24.082
64,24.223
65,24.337
66,24.454
67,24.644
68,24.852
69,25.045
70,25.261
71,25.456
72,25.708
73,25.959
74,26.287
75,26.621
76,27.030
77,27.575
78,28.072
79,28.492
80,29.031
81,29.527
82,30.021
83,30.600
84,31.229
85,31.724
86,32.111
87,32.714
88,33.302
89,33.751
90,34.561
91,35.371
92,36.310
93,37.392
94,38.768
95,41.274
96,45.619
97,48.966
98,53.303
99,218.161
