starttime	seconds	ctime	dtime	ttime	wait
Tue May 09 23:08:23 2017	1494364103	0	2	2	2
Tue May 09 23:08:23 2017	1494364103	0	2	2	2
Tue May 09 23:08:23 2017	1494364103	0	2	2	2
Tue May 09 23:08:23 2017	1494364103	0	2	2	2
Tue May 09 23:08:23 2017	1494364103	0	2	2	2
Tue May 09 23:08:23 2017	1494364103	0	2	2	2
Tue May 09 23:08:23 2017	1494364103	0	2	2	2
Tue May 09 23:08:23 2017	1494364103	0	2	2	2
Tue May 09 23:08:23 2017	1494364103	0	2	2	2
Tue May 09 23:08:23 2017	1494364103	0	2	2	2
Tue May 09 23:08:23 2017	1494364103	0	2	2	2
Tue May 09 23:08:23 2017	1494364103	0	2	2	2
Tue May 09 23:08:23 2017	1494364103	0	2	2	2
Tue May 09 23:08:23 2017	1494364103	0	2	2	2
Tue May 09 23:08:23 2017	1494364103	0	2	3	2
Tue May 09 23:08:23 2017	1494364103	0	3	3	3
Tue May 09 23:08:23 2017	1494364103	0	7	7	2
Tue May 09 23:08:23 2017	1494364103	0	7	7	2
Tue May 09 23:08:23 2017	1494364103	0	7	7	2
Tue May 09 23:08:23 2017	1494364103	0	7	7	2
Tue May 09 23:08:23 2017	1494364103	0	9	9	9
Tue May 09 23:08:24 2017	1494364104	0	9	9	9
Tue May 09 23:08:24 2017	1494364104	0	9	9	9
Tue May 09 23:08:24 2017	1494364104	0	10	10	10
Tue May 09 23:08:24 2017	1494364104	0	10	10	10
Tue May 09 23:08:24 2017	1494364104	0	10	10	10
Tue May 09 23:08:24 2017	1494364104	0	10	10	10
Tue May 09 23:08:23 2017	1494364103	0	10	11	10
Tue May 09 23:08:24 2017	1494364104	0	11	11	11
Tue May 09 23:08:24 2017	1494364104	0	11	11	11
Tue May 09 23:08:24 2017	1494364104	0	11	11	11
Tue May 09 23:08:24 2017	1494364104	0	11	11	11
Tue May 09 23:08:24 2017	1494364104	0	12	12	11
Tue May 09 23:08:24 2017	1494364104	0	12	12	12
Tue May 09 23:08:24 2017	1494364104	0	12	12	12
Tue May 09 23:08:24 2017	1494364104	0	12	12	12
Tue May 09 23:08:24 2017	1494364104	0	12	12	12
Tue May 09 23:08:24 2017	1494364104	0	12	12	12
Tue May 09 23:08:24 2017	1494364104	0	12	12	12
Tue May 09 23:08:24 2017	1494364104	0	12	12	12
Tue May 09 23:08:24 2017	1494364104	0	12	12	12
Tue May 09 23:08:24 2017	1494364104	0	12	13	12
Tue May 09 23:08:24 2017	1494364104	0	13	13	12
Tue May 09 23:08:24 2017	1494364104	0	13	13	13
Tue May 09 23:08:24 2017	1494364104	0	13	13	13
Tue May 09 23:08:24 2017	1494364104	0	13	13	13
Tue May 09 23:08:24 2017	1494364104	0	13	13	13
Tue May 09 23:08:24 2017	1494364104	0	13	13	13
Tue May 09 23:08:24 2017	1494364104	0	13	13	13
Tue May 09 23:08:24 2017	1494364104	0	13	13	13
Tue May 09 23:08:24 2017	1494364104	0	13	13	13
Tue May 09 23:08:24 2017	1494364104	0	13	13	13
Tue May 09 23:08:24 2017	1494364104	0	13	13	13
Tue May 09 23:08:24 2017	1494364104	0	13	13	13
Tue May 09 23:08:24 2017	1494364104	0	13	14	13
Tue May 09 23:08:24 2017	1494364104	0	14	14	13
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:23 2017	1494364103	0	14	14	2
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	14	14
Tue May 09 23:08:24 2017	1494364104	0	14	15	14
Tue May 09 23:08:24 2017	1494364104	0	15	15	14
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	14
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	15	15
Tue May 09 23:08:24 2017	1494364104	0	15	16	15
Tue May 09 23:08:24 2017	1494364104	0	15	16	15
Tue May 09 23:08:24 2017	1494364104	0	15	16	15
Tue May 09 23:08:24 2017	1494364104	0	16	16	15
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	15
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:23 2017	1494364103	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:23 2017	1494364103	0	16	16	2
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:23 2017	1494364103	0	16	16	2
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	16	16
Tue May 09 23:08:24 2017	1494364104	0	16	17	16
Tue May 09 23:08:24 2017	1494364104	0	16	17	16
Tue May 09 23:08:24 2017	1494364104	0	16	17	16
Tue May 09 23:08:24 2017	1494364104	0	16	17	16
Tue May 09 23:08:24 2017	1494364104	0	17	17	16
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	16
Tue May 09 23:08:24 2017	1494364104	0	17	17	16
Tue May 09 23:08:24 2017	1494364104	0	17	17	16
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	16	17	16
Tue May 09 23:08:24 2017	1494364104	0	16	17	16
Tue May 09 23:08:24 2017	1494364104	0	16	17	16
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:23 2017	1494364103	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
Tue May 09 23:08:24 2017	1494364104	0	17	17	17
