starttime	seconds	ctime	dtime	ttime	wait
Tue May 09 19:52:25 2017	1494352345	3	2	4	2
Tue May 09 19:52:25 2017	1494352345	3	2	4	2
Tue May 09 19:52:25 2017	1494352345	3	2	4	2
Tue May 09 19:52:25 2017	1494352345	3	2	4	2
Tue May 09 19:52:25 2017	1494352345	3	2	4	2
Tue May 09 19:52:25 2017	1494352345	3	2	5	2
Tue May 09 19:52:25 2017	1494352345	3	2	5	1
Tue May 09 19:52:25 2017	1494352345	3	2	5	2
Tue May 09 19:52:25 2017	1494352345	3	2	5	2
Tue May 09 19:52:25 2017	1494352345	3	2	5	2
Tue May 09 19:52:25 2017	1494352345	3	2	5	2
Tue May 09 19:52:25 2017	1494352345	3	2	5	2
Tue May 09 19:52:25 2017	1494352345	3	2	5	2
Tue May 09 19:52:25 2017	1494352345	3	2	5	2
Tue May 09 19:52:25 2017	1494352345	3	2	5	2
Tue May 09 19:52:25 2017	1494352345	3	2	5	2
Tue May 09 19:52:25 2017	1494352345	3	2	5	2
Tue May 09 19:52:25 2017	1494352345	3	2	5	2
Tue May 09 19:52:25 2017	1494352345	3	3	5	3
Tue May 09 19:52:25 2017	1494352345	3	3	6	2
Tue May 09 19:52:25 2017	1494352345	3	3	6	2
Tue May 09 19:52:25 2017	1494352345	3	3	6	2
Tue May 09 19:52:24 2017	1494352344	2	4	6	3
Tue May 09 19:52:24 2017	1494352344	2	4	6	3
Tue May 09 19:52:24 2017	1494352344	2	4	6	3
Tue May 09 19:52:24 2017	1494352344	2	4	6	3
Tue May 09 19:52:25 2017	1494352345	3	3	6	2
Tue May 09 19:52:24 2017	1494352344	2	4	6	3
Tue May 09 19:52:24 2017	1494352344	2	4	6	3
Tue May 09 19:52:24 2017	1494352344	2	4	6	3
Tue May 09 19:52:24 2017	1494352344	2	4	6	3
Tue May 09 19:52:24 2017	1494352344	2	4	6	3
Tue May 09 19:52:24 2017	1494352344	2	4	6	3
Tue May 09 19:52:24 2017	1494352344	2	4	6	3
Tue May 09 19:52:24 2017	1494352344	2	4	6	3
Tue May 09 19:52:24 2017	1494352344	2	4	6	3
Tue May 09 19:52:24 2017	1494352344	2	4	6	4
Tue May 09 19:52:24 2017	1494352344	2	4	6	4
Tue May 09 19:52:25 2017	1494352345	3	3	6	2
Tue May 09 19:52:24 2017	1494352344	2	4	6	4
Tue May 09 19:52:24 2017	1494352344	3	3	6	3
Tue May 09 19:52:24 2017	1494352344	3	3	6	3
Tue May 09 19:52:24 2017	1494352344	3	3	6	3
Tue May 09 19:52:25 2017	1494352345	3	3	6	3
Tue May 09 19:52:25 2017	1494352345	1	5	6	3
Tue May 09 19:52:24 2017	1494352344	3	3	6	3
Tue May 09 19:52:24 2017	1494352344	3	3	6	2
Tue May 09 19:52:25 2017	1494352345	1	5	6	4
Tue May 09 19:52:24 2017	1494352344	3	3	6	2
Tue May 09 19:52:25 2017	1494352345	2	5	6	4
Tue May 09 19:52:25 2017	1494352345	2	5	6	4
